Note,Low midtone (Hz),In tune (Hz),High midtone (Hz),Semitone index (A4=69)
E0,20.01523126408007,20.601722307054366,21.205398849359185,16
F0,21.205398849359188,21.826764464562746,22.46633748206513,17
F#0,22.46633748206512,23.12465141947715,23.802255427668936,18
G0,23.80225542766893,24.499714748859326,25.217611188128455,19
G#0,25.217611188128462,25.956543598746574,26.717128381724166,20
A0,26.71712838172416,27.5,28.30581150769603,21
A#0,28.30581150769603,29.13523509488062,29.98896264829459,22
B0,29.988962648294578,30.86770632850775,31.7721991639875,23
C1,31.772199163987505,32.70319566257483,33.66147244087802,24
C#1,33.661472440878015,34.64782887210901,35.66308775290276,25
D1,35.66308775290276,36.70809598967594,37.78372530509745,26
D#1,37.78372530509745,38.890872965260115,40.03046252816016,27
E1,40.03046252816016,41.20344461410875,42.41079769871838,28
F1,42.41079769871837,43.653528929125486,44.93267496413025,29
F#1,44.93267496413024,46.2493028389543,47.60451085533787,30
G1,47.60451085533787,48.999429497718666,50.435222376256924,31
G#1,50.43522237625692,51.91308719749314,53.434256763448325,32
A1,53.43425676344832,55.0,56.61162301539206,33
A#1,56.61162301539206,58.27047018976124,59.97792529658918,34
B1,59.977925296589156,61.7354126570155,63.544398327975,35
C2,63.54439832797501,65.40639132514966,67.32294488175604,36
C#2,67.32294488175603,69.29565774421802,71.32617550580552,37
D2,71.32617550580552,73.41619197935188,75.5674506101949,38
D#2,75.5674506101949,77.78174593052023,80.06092505632031,39
E2,80.06092505632031,82.4068892282175,84.82159539743677,40
F2,84.82159539743674,87.30705785825097,89.8653499282605,41
F#2,89.86534992826049,92.4986056779086,95.20902171067574,42
G2,95.20902171067574,97.99885899543733,100.87044475251385,43
G#2,100.87044475251383,103.82617439498628,106.86851352689665,44
A2,106.86851352689663,110.0,113.22324603078413,45
A#2,113.22324603078413,116.54094037952248,119.95585059317835,46
B2,119.95585059317834,123.47082531403103,127.08879665595003,47
C3,127.08879665595002,130.8127826502993,134.6458897635121,48
C#3,134.64588976351206,138.59131548843604,142.65235101161105,49
D3,142.65235101161107,146.8323839587038,151.13490122038982,50
D#3,151.1349012203898,155.56349186104046,160.12185011264063,51
E3,160.1218501126406,164.81377845643496,169.6431907948735,52
F3,169.64319079487348,174.61411571650194,179.730699856521,53
F#3,179.73069985652097,184.9972113558172,190.41804342135148,54
G3,190.41804342135146,195.99771799087463,201.74088950502767,55
G#3,201.74088950502767,207.65234878997256,213.7370270537933,56
A3,213.73702705379327,220.0,226.44649206156825,57
A#3,226.44649206156825,233.08188075904496,239.9117011863567,58
B3,239.91170118635668,246.94165062806206,254.17759331190007,59
C4,254.17759331190004,261.6255653005986,269.2917795270242,60
C#4,269.2917795270241,277.1826309768721,285.3047020232221,61
D4,285.30470202322215,293.6647679174076,302.26980244077964,62
D#4,302.2698024407796,311.1269837220809,320.24370022528126,63
E4,320.2437002252812,329.6275569128699,339.286381589747,64
F4,339.28638158974695,349.2282314330039,359.461399713042,65
F#4,359.46139971304194,369.9944227116344,380.83608684270297,66
G4,380.8360868427029,391.99543598174927,403.48177901005533,67
G#4,403.48177901005533,415.3046975799451,427.4740541075866,68
A4,427.47405410758654,440.0,452.8929841231365,69
A#4,452.8929841231365,466.1637615180899,479.8234023727134,70
B4,479.82340237271336,493.8833012561241,508.35518662380014,71
C5,508.3551866238001,523.2511306011972,538.5835590540484,72
C#5,538.5835590540482,554.3652619537442,570.6094040464442,73
D5,570.6094040464443,587.3295358348151,604.5396048815593,74
D#5,604.5396048815592,622.2539674441618,640.4874004505625,75
E5,640.4874004505624,659.2551138257398,678.572763179494,76
F5,678.5727631794939,698.4564628660078,718.922799426084,77
F#5,718.9227994260839,739.9888454232688,761.6721736854059,78
G5,761.6721736854058,783.9908719634985,806.9635580201107,79
G#5,806.9635580201107,830.6093951598903,854.9481082151732,80
A5,854.9481082151731,880.0,905.785968246273,81
A#5,905.785968246273,932.3275230361799,959.6468047454268,82
B5,959.6468047454267,987.7666025122483,1016.7103732476003,83
C6,1016.7103732476002,1046.5022612023945,1077.1671181080967,84
C#6,1077.1671181080965,1108.7305239074883,1141.2188080928884,85
D6,1141.2188080928886,1174.6590716696303,1209.0792097631186,86
D#6,1209.0792097631183,1244.5079348883237,1280.974800901125,87
E6,1280.9748009011248,1318.5102276514797,1357.145526358988,88
F6,1357.1455263589878,1396.9129257320155,1437.845598852168,89
F#6,1437.8455988521678,1479.9776908465376,1523.3443473708119,90
G6,1523.3443473708116,1567.981743926997,1613.9271160402213,91
G#6,1613.9271160402213,1661.2187903197805,1709.8962164303464,92
A6,1709.8962164303462,1760.0,1811.571936492546,93
A#6,1811.571936492546,1864.6550460723597,1919.2936094908537,94
B6,1919.293609490853,1975.533205024496,2033.4207464952,95
C7,2033.4207464952003,2093.004522404789,2154.3342362161934,96
C#7,2154.334236216193,2217.4610478149766,2282.4376161857767,97
D7,2282.4376161857767,2349.31814333926,2418.1584195262367,98
D#7,2418.1584195262367,2489.0158697766474,2561.94960180225,99
E7,2561.94960180225,2637.02045530296,2714.2910527179765,100
F7,2714.2910527179756,2793.825851464031,2875.691197704336,101
F#7,2875.6911977043355,2959.955381693075,3046.6886947416237,102
G7,3046.6886947416237,3135.9634878539946,3227.854232080443,103
G#7,3227.8542320804427,3322.437580639561,3419.7924328606928,104
A7,3419.7924328606923,3520.0,3623.143872985092,105
A#7,3623.143872985092,3729.3100921447194,3838.5872189817073,106
B7,3838.587218981706,3951.066410048992,4066.8414929904,107
C8,4066.8414929904006,4186.009044809578,4308.668472432387,108
C#8,4308.668472432386,4434.922095629953,4564.8752323715535,109
D8,4564.8752323715535,4698.63628667852,4836.316839052473,110
D#8,4836.316839052473,4978.031739553295,5123.8992036045,111
E8,5123.8992036045,5274.04091060592,5428.582105435953,112
F8,5428.582105435951,5587.651702928062,5751.382395408672,113
F#8,5751.382395408671,5919.91076338615,6093.3773894832475,114
G8,6093.3773894832475,6271.926975707989,6455.708464160886,115
G#8,6455.708464160885,6644.875161279122,6839.5848657213855,116
A8,6839.584865721385,7040.0,7246.287745970184,117
A#8,7246.287745970182,7458.620184289437,7677.174437963413,118
B8,7677.174437963416,7902.132820097988,8133.682985980805,119
C9,8133.682985980801,8372.018089619156,8617.336944864774,120
C#9,8617.336944864772,8869.844191259906,9129.750464743107,121
D9,9129.75046474311,9397.272573357044,9672.63367810495,122
D#9,9672.633678104947,9956.06347910659,10247.798407209,123
E9,10247.798407208997,10548.081821211836,10857.164210871902,124
F9,10857.164210871904,11175.303405856126,11502.764790817346,125
F#9,11502.764790817342,11839.8215267723,12186.754778966495,126
G9,12186.754778966491,12543.853951415975,12911.416928321769,127
G#9,12911.416928321773,13289.750322558246,13679.169731442773,128
A9,13679.16973144277,14080.0,14492.575491940368,129
A#9,14492.575491940364,14917.240368578874,15354.348875926826,130
B9,15354.348875926831,15804.265640195976,16267.36597196161,131
C10,16267.365971961603,16744.036179238312,17234.673889729547,132
C#10,17234.673889729544,17739.688382519813,18259.500929486214,133
D10,18259.50092948622,18794.54514671409,19345.2673562099,134
D#10,19345.267356209893,19912.12695821318,20495.596814418,135
